Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Otwarcie_wig_d,Najwyzszy_wig_d,Najnizszy_wig_d,Zamkniecie_wig_d,Wolumen,Otwarcie_res,Najwyzszy_res,Najnizszy_res,Zamkniecie_res,Otwarcie_wig_d_res,Najwyzszy_wig_d_res,Najnizszy_wig_d_res,Zamkniecie_wig_d_res,Wolumen_res,Otwarcie_res,Najwyzszy_res,Najnizszy_res,Zamkniecie_res,Otwarcie_mkr_v_d,Najwyzszy_mkr_v_d,Najnizszy_mkr_v_d,Zamkniecie_mkr_v_d,Otwarcie_btc_v_d (1),Najwyzszy_btc_v_d (1),Najnizszy_btc_v_d (1),Zamkniecie_btc_v_d (1),Otwarcie_bnb_v_d,Najwyzszy_bnb_v_d,Najnizszy_bnb_v_d,Zamkniecie_bnb_v_d,Otwarcie_fw20_d,Najwyzszy_fw20_d,Najnizszy_fw20_d,Zamkniecie_fw20_d,Wolumen_fw20_d,LOP,Otwarcie_comp_v_d,Najwyzszy_comp_v_d,Najnizszy_comp_v_d,Zamkniecie_comp_v_d,Otwarcie_usdeur_d,Najwyzszy_usdeur_d,Najnizszy_usdeur_d,Zamkniecie_usdeur_d,Otwarcie_wig20_d,Najwyzszy_wig20_d,Najnizszy_wig20_d,Zamkniecie_wig20_d,Wolumen_wig20_d,Otwarcie_eurchf_d,Najwyzszy_eurchf_d,Najnizszy_eurchf_d,Zamkniecie_eurchf_d,Otwarcie_eurpln_d,Najwyzszy_eurpln_d,Najnizszy_eurpln_d,Zamkniecie_eurpln_d,Otwarcie_usdpln_d,Najwyzszy_usdpln_d,Najnizszy_usdpln_d,Zamkniecie_usdpln_d,Otwarcie_bch_v_d,Najwyzszy_bch_v_d,Najnizszy_bch_v_d,Zamkniecie_bch_v_d,Otwarcie_usdchf_d,Najwyzszy_usdchf_d,Najnizszy_usdchf_d,Zamkniecie_usdchf_d,Otwarcie_eurusd_d,Najwyzszy_eurusd_d,Najnizszy_eurusd_d,Zamkniecie_eurusd_d,Otwarcie_mkr_v_d,Najwyzszy_mkr_v_d,Najnizszy_mkr_v_d,Zamkniecie_mkr_v_d,Otwarcie_btc_v_d (1),Najwyzszy_btc_v_d (1),Najnizszy_btc_v_d (1),Zamkniecie_btc_v_d (1),Otwarcie_bnb_v_d,Najwyzszy_bnb_v_d,Najnizszy_bnb_v_d,Zamkniecie_bnb_v_d,Otwarcie_fw20_d,Najwyzszy_fw20_d,Najnizszy_fw20_d,Zamkniecie_fw20_d,Wolumen_fw20_d,LOP_fw20_d,Otwarcie_comp_v_d,Najwyzszy_comp_v_d,Najnizszy_comp_v_d,Zamkniecie_comp_v_d,Otwarcie_usdeur_d,Najwyzszy_usdeur_d,Najnizszy_usdeur_d,Zamkniecie_usdeur_d,Otwarcie_wig20_d,Najwyzszy_wig20_d,Najnizszy_wig20_d,Zamkniecie_wig20_d,Wolumen_wig20_d,Otwarcie_eurchf_d,Najwyzszy_eurchf_d,Najnizszy_eurchf_d,Zamkniecie_eurchf_d,Otwarcie_eurpln_d,Najwyzszy_eurpln_d,Najnizszy_eurpln_d,Zamkniecie_eurpln_d,Otwarcie_usdpln_d,Najwyzszy_usdpln_d,Najnizszy_usdpln_d,Zamkniecie_usdpln_d,Otwarcie_bch_v_d,Najwyzszy_bch_v_d,Najnizszy_bch_v_d,Zamkniecie_bch_v_d,Otwarcie_usdchf_d,Najwyzszy_usdchf_d,Najnizszy_usdchf_d,Zamkniecie_usdchf_d,Otwarcie_eurusd_d,Najwyzszy_eurusd_d,Najnizszy_eurusd_d,Zamkniecie_eurusd_d
2020-06-19,229.89,232.42,226.61,229.56,50501.03,50676.93,50458.76,50670.08,118188907.0,229.89,232.42,226.61,229.56,50501.03,50676.93,50458.76,50670.08,118188907.0,229.89,232.42,226.61,229.56,518.67,535.3,511.8,516.01,9365.07,9419.9,9239.6,9324.16,16.07,16.27,15.9,16.0,1792,1804,1792,1795,19820,47039.0,291.06,291.23,205.48,211.38,0.89249,0.89538,0.88856,0.8939299999999999,1791.68,1809.23,1791.68,1807.85,91765353,1.06621,1.0678299999999998,1.06366,1.06505,4.44961,4.47115,4.44269,4.46589,3.97123,4.00059,3.95457,3.99219,235.08,236.62,230.41,233.97,0.95158,0.95308,0.9488,0.95208,1.12046,1.12542,1.11684,1.11865,518.67,535.3,511.8,516.01,9365.07,9419.9,9239.6,9324.16,16.07,16.27,15.9,16.0,1792,1804,1792,1795,19820,47039.0,291.06,291.23,205.48,211.38,0.89249,0.89538,0.88856,0.8939299999999999,1791.68,1809.23,1791.68,1807.85,91765353,1.06621,1.0678299999999998,1.06366,1.06505,4.44961,4.47115,4.44269,4.46589,3.9712300000000003,4.00059,3.95457,3.9921900000000003,235.08,236.62,230.41,233.97,0.95158,0.9530799999999999,0.9488,0.9520799999999999,1.12046,1.12542,1.11684,1.11865
2020-06-22,229.42,246.74,227.09,243.12,50642.94,50815.34,50300.67,50606.02,87416733.0,229.42,246.74,227.09,243.12,50642.94,50815.34,50300.67,50606.02,87416733.0,229.42,246.74,227.09,243.12,512.05,519.89,498.87,519.89,9328.63,9773.86,9282.75,9690.25,15.99,16.58,15.91,16.47,1789,1802,1780,1790,13924,28261.0,360.19,360.19,233.69,287.37,0.89417,0.89536,0.8873700000000001,0.88784,1805.25,1807.19,1786.99,1797.05,43852662,1.06381,1.0677299999999998,1.06381,1.06725,4.45598,4.47086,4.43657,4.44032,3.98409,4.0019800000000005,3.93975,3.94229,232.08,243.86,229.69,242.33,0.95123,0.95273,0.94654,0.94755,1.11835,1.12693,1.11687,1.1263299999999998,512.05,519.89,498.87,519.89,9328.63,9773.86,9282.75,9690.25,15.99,16.58,15.91,16.47,1789,1802,1780,1790,13924,28261.0,360.19,360.19,233.69,287.37,0.89417,0.89536,0.8873700000000001,0.88784,1805.25,1807.19,1786.99,1797.05,43852662,1.0638100000000001,1.0677299999999998,1.0638100000000001,1.06725,4.45598,4.47086,4.43657,4.44032,3.98409,4.0019800000000005,3.93975,3.9422900000000003,232.08,243.86,229.69,242.33,0.9512299999999999,0.95273,0.9465399999999999,0.94755,1.11835,1.12693,1.11687,1.1263299999999998
2020-06-23,243.07,244.84,240.89,244.16,50942.9,51863.82,50841.55,51438.3,102495651.0,243.07,244.84,240.89,244.16,50942.9,51863.82,50841.55,51438.3,102495651.0,243.07,244.84,240.89,244.16,519.84,524.03,495.97,502.75,9689.26,9720.09,9581.07,9649.24,16.42,16.57,16.28,16.41,1802,1844,1798,1824,19480,27922.0,287.31,343.59,242.02,258.75,0.8878799999999999,0.8901899999999999,0.8811700000000001,0.88426,1807.1,1847.33,1806.21,1825.99,44376322,1.0671700000000002,1.0712,1.06605,1.06857,4.44013,4.4541900000000005,4.43098,4.44756,3.9423,3.95853,3.91365,3.9328,242.3,244.21,239.37,242.2,0.94752,0.94938,0.94205,0.94489,1.12628,1.13485,1.12335,1.13089,519.84,524.03,495.97,502.75,9689.26,9720.09,9581.07,9649.24,16.42,16.57,16.28,16.41,1802,1844,1798,1824,19480,27922.0,287.31,343.59,242.02,258.75,0.8878799999999999,0.8901899999999999,0.8811700000000001,0.88426,1807.1,1847.33,1806.21,1825.99,44376322,1.0671700000000002,1.0712,1.06605,1.06857,4.44013,4.4541900000000005,4.43098,4.44756,3.9423,3.95853,3.91365,3.9328,242.3,244.21,239.37,242.2,0.94752,0.9493799999999999,0.94205,0.94489,1.12628,1.13485,1.12335,1.13089
2020-06-24,244.16,249.12,231.1,234.6,51616.42,51694.81,50478.37,50479.64,84756272.0,244.16,249.12,231.1,234.6,51616.42,51694.81,50478.37,50479.64,84756272.0,244.16,249.12,231.1,234.6,502.75,504.71,470.07,487.26,9648.6,9664.38,9209.0,9265.66,16.41,16.66,15.95,16.05,1827,1833,1783,1785,18570,29277.0,258.84,264.0,190.22,207.92,0.88431,0.8890100000000001,0.88246,0.88849,1830.39,1836.89,1784.23,1784.23,38481948,1.06843,1.0699299999999998,1.06609,1.06671,4.44742,4.45902,4.44229,4.45514,3.9329,3.96204,3.92393,3.95835,242.2,245.35,229.66,232.39,0.94482,0.94862,0.94333,0.94776,1.1308200000000002,1.1332,1.12485,1.1255,502.75,504.71,470.07,487.26,9648.6,9664.38,9209.0,9265.66,16.41,16.66,15.95,16.05,1827,1833,1783,1785,18570,29277.0,258.84,264.0,190.22,207.92,0.88431,0.8890100000000001,0.88246,0.88849,1830.39,1836.89,1784.23,1784.23,38481948,1.06843,1.0699299999999998,1.06609,1.06671,4.44742,4.45902,4.44229,4.45514,3.9329,3.96204,3.9239300000000004,3.95835,242.2,245.35,229.66,232.39,0.9448200000000001,0.94862,0.9433299999999999,0.94776,1.1308200000000002,1.1332,1.12485,1.1255
2020-06-25,234.61,235.58,227.46,234.09,50346.03,50767.04,49870.68,50658.89,69576460.0,234.61,235.58,227.46,234.09,50346.03,50767.04,49870.68,50658.89,69576460.0,234.61,235.58,227.46,234.09,487.26,487.26,465.36,465.36,9265.2,9328.81,9005.67,9301.57,16.05,16.18,15.5,15.99,1779,1799,1756,1793,20881,29313.0,207.92,253.0,197.55,234.32,0.8885200000000001,0.8936200000000001,0.88812,0.89156,1781.84,1798.8,1759.21,1793.36,33804564,1.06662,1.0677,1.06354,1.06443,4.4547,4.47242,4.44752,4.45479,3.95809,3.99265,3.9571,3.97171,232.4,234.71,226.36,233.07,0.94771,0.95078,0.94759,0.949,1.12547,1.12598,1.11905,1.12163,487.26,487.26,465.36,465.36,9265.2,9328.81,9005.67,9301.57,16.05,16.18,15.5,15.99,1779,1799,1756,1793,20881,29313.0,207.92,253.0,197.55,234.32,0.8885200000000001,0.8936200000000001,0.88812,0.89156,1781.84,1798.8,1759.21,1793.36,33804564,1.0666200000000001,1.0677,1.06354,1.06443,4.4547,4.47242,4.44752,4.45479,3.9580900000000003,3.99265,3.9571,3.97171,232.4,234.71,226.36,233.07,0.94771,0.95078,0.9475899999999999,0.9490000000000001,1.12547,1.12598,1.11905,1.12163
2020-06-26,234.09,234.31,227.6,230.3,50783.4,50806.32,49725.89,49725.89,57403107.0,234.09,234.31,227.6,230.3,50783.4,50806.32,49725.89,49725.89,57403107.0,234.09,234.31,227.6,230.3,465.51,468.65,453.25,460.7,9301.64,9309.94,9045.11,9174.83,15.97,16.0,15.53,15.77,1798,1805,1754,1761,17841,29394.0,234.32,272.85,226.3,260.88,0.89164,0.8932200000000001,0.8897299999999999,0.8906,1799.33,1800.49,1759.37,1759.43,27866129,1.06431,1.06464,1.06283,1.06415,4.4546199999999985,4.4741800000000005,4.45112,4.46753,3.97192,3.99063,3.96459,3.97878,233.07,233.33,228.12,230.25,0.94898,0.94999,0.94677,0.94773,1.12153,1.12394,1.11955,1.12284,465.51,468.65,453.25,460.7,9301.64,9309.94,9045.11,9174.83,15.97,16.0,15.53,15.77,1798,1805,1754,1761,17841,29394.0,234.32,272.85,226.3,260.88,0.89164,0.8932200000000001,0.8897299999999999,0.8906,1799.33,1800.49,1759.37,1759.43,27866129,1.06431,1.06464,1.06283,1.06415,4.454619999999999,4.4741800000000005,4.4511199999999995,4.46753,3.97192,3.9906300000000003,3.9645900000000003,3.9787800000000004,233.07,233.33,228.12,230.25,0.9489799999999999,0.94999,0.9467700000000001,0.94773,1.12153,1.12394,1.11955,1.12284
2020-06-29,225.14,229.07,221.21,228.39,49593.24,49972.31,49536.58,49972.05,78492799.0,225.14,229.07,221.21,228.39,49593.24,49972.31,49536.58,49972.05,78492799.0,225.14,229.07,221.21,228.39,449.7,457.83,441.63,454.61,9124.89,9233.84,9027.25,9212.15,15.39,15.56,15.19,15.51,1756,1770,1748,1766,14648,29604.0,246.8,247.84,230.68,235.27,0.8911100000000001,0.8914799999999999,0.8859,0.8896,1758.46,1771.21,1750.91,1769.47,32076105,1.06339,1.06987,1.06339,1.0692700000000002,4.46819,4.47105,4.45369,4.45651,3.98165,3.98375,3.956080000000001,3.96451,223.36,224.29,218.42,224.13,0.9476,0.95249,0.94418,0.95122,1.1222,1.1288,1.12173,1.1241,449.7,457.83,441.63,454.61,9124.89,9233.84,9027.25,9212.15,15.39,15.56,15.19,15.51,1756,1770,1748,1766,14648,29604.0,246.8,247.84,230.68,235.27,0.8911100000000001,0.8914799999999999,0.8859,0.8896,1758.46,1771.21,1750.91,1769.47,32076105,1.06339,1.06987,1.06339,1.0692700000000002,4.46819,4.47105,4.45369,4.45651,3.98165,3.98375,3.9560800000000005,3.9645099999999998,223.36,224.29,218.42,224.13,0.9476,0.95249,0.9441799999999999,0.9512200000000001,1.1222,1.1288,1.12173,1.1241
2020-06-30,228.39,229.88,223.01,226.31,50157.78,50167.33,49485.53,49569.17,86804296.0,228.39,229.88,223.01,226.31,50157.78,50167.33,49485.53,49569.17,86804296.0,228.39,229.88,223.01,226.31,454.61,461.75,440.53,455.64,9210.95,9232.66,9069.9,9163.73,15.5,15.6,15.24,15.44,1769,1775,1751,1754,12787,30340.0,235.27,242.55,212.38,220.0,0.8896200000000001,0.89355,0.88795,0.8902899999999999,1770.24,1777.07,1754.41,1758.82,33776211,1.06924,1.07046,1.06313,1.06391,4.45641,4.47122,4.43818,4.44672,3.96451,3.98905,3.94544,3.95887,224.14,227.14,220.57,222.23,0.95122,0.95326,0.94616,0.94719,1.12408,1.12619,1.11913,1.12323,454.61,461.75,440.53,455.64,9210.95,9232.66,9069.9,9163.73,15.5,15.6,15.24,15.44,1769,1775,1751,1754,12787,30340.0,235.27,242.55,212.38,220.0,0.8896200000000001,0.89355,0.88795,0.8902899999999999,1770.24,1777.07,1754.41,1758.82,33776211,1.06924,1.07046,1.06313,1.0639100000000001,4.45641,4.47122,4.43818,4.44672,3.9645099999999998,3.98905,3.94544,3.9588699999999997,224.14,227.14,220.57,222.23,0.9512200000000001,0.95326,0.94616,0.94719,1.12408,1.12619,1.11913,1.12323
2020-07-01,226.22,232.77,224.22,231.25,49822.43,50137.51,49248.33,50104.2,55672407.0,226.22,232.77,224.22,231.25,49822.43,50137.51,49248.33,50104.2,55672407.0,226.22,232.77,224.22,231.25,455.67,457.92,444.33,445.28,9163.43,9299.29,9097.79,9243.83,15.43,15.87,15.22,15.83,1759,1778,1737,1775,17213,30776.0,220.0,220.13,210.05,211.67,0.8903,0.8940100000000001,0.8869,0.88885,1760.72,1774.79,1739.93,1772.38,30478139,1.064,1.06618,1.0612700000000002,1.06417,4.44667,4.48033,4.4344,4.47433,3.95874,3.98706,3.948,3.97701,222.23,226.69,221.25,224.29,0.94728,0.94939,0.94451,0.94589,1.12322,1.12752,1.11855,1.12505,455.67,457.92,444.33,445.28,9163.43,9299.29,9097.79,9243.83,15.43,15.87,15.22,15.83,1759,1778,1737,1775,17213,30776.0,220.0,220.13,210.05,211.67,0.8903,0.8940100000000001,0.8869,0.88885,1760.72,1774.79,1739.93,1772.38,30478139,1.064,1.06618,1.0612700000000002,1.06417,4.44667,4.48033,4.4344,4.47433,3.95874,3.98706,3.948,3.97701,222.23,226.69,221.25,224.29,0.9472799999999999,0.94939,0.9445100000000001,0.94589,1.12322,1.12752,1.11855,1.12505
2020-07-02,231.26,232.1,223.23,228.17,50345.25,51062.22,50297.92,50937.18,62064339.0,231.26,232.1,223.23,228.17,50345.25,51062.22,50297.92,50937.18,62064339.0,231.26,232.1,223.23,228.17,445.46,458.99,430.61,434.21,9243.86,9267.63,8956.73,9152.23,15.83,15.97,15.07,15.44,1785,1809,1779,1800,18292,30296.0,211.46,211.7,176.3,177.41,0.88882,0.89095,0.8847700000000001,0.8897,1778.45,1809.74,1778.45,1804.01,36329707,1.06397,1.06615,1.06178,1.06271,4.4729,4.47871,4.46135,4.4646300000000005,3.9756,3.97926,3.94905,3.97218,224.3,225.43,217.72,221.15,0.94568,0.94651,0.94268,0.94549,1.12509,1.13024,1.1224,1.12398,445.46,458.99,430.61,434.21,9243.86,9267.63,8956.73,9152.23,15.83,15.97,15.07,15.44,1785,1809,1779,1800,18292,30296.0,211.46,211.7,176.3,177.41,0.88882,0.89095,0.8847700000000001,0.8897,1778.45,1809.74,1778.45,1804.01,36329707,1.06397,1.06615,1.06178,1.06271,4.4729,4.4787099999999995,4.46135,4.4646300000000005,3.9756,3.97926,3.94905,3.9721800000000003,224.3,225.43,217.72,221.15,0.94568,0.9465100000000001,0.94268,0.9454899999999999,1.12509,1.13024,1.1224,1.12398
